lliciaceae;badianowate|
Schisandraceae;cytryńcowate|
Ranunculaceae;jaskrowate|
Papaveraceae;makowate|
Aristolochiaceae;kokornakowate|
Caryophyllaceae;goździkowate|
Amaranthaceae;szarłatowate|
Polygonaceae;rdestowate|
Loranthaceae;gązownikowate|
Fagaceae;bukowate|
Betulaceae;brzozowate|
Salicaceae;wierzbowate|
Urticaceae;pokrzywowate|
Cannabaceae;konopiowate|
Rosaceae;różowate|
Rhamnaceae;szakłakowate|
Solanaceae;psiankowate|
Poaceae;wiechlinowate|
Euphorbiaceae;wilczomleczowate|
amaryllidaceae;amarylkowate|
cemmelinaceae;komelinowate|
convolvulaceae;powojowate| 
asparagaceae;szparagowate|
equisetaceae;skrzypowate|
malvaceae;ślazowate|
asteraceae;astrowate|
plantaginaceae;babkowate|
lamiaceae;jasnotowate|
lauraceae;wawrzynowate|
hypericaceae;dziurawcowate|
apiaceae;selerowate;
