Anisi stellati fructus;owoc anyżu gwiaździstego|
Anisi stellati aetheroleum;olejek eteryczny anyżu gwiaździstego|
Schisandrae chinensis fructu;owoc cytryńca chińskiego|
Magnoliae officinalis cortex;kora magnolii lekarskiej|
Magnoliae officinalis flos;kwiat magnolii lekarskiej|
Magnoliae biondii flos immaturus;pąki kwiatowe magnolii Bionda|
Cimicifugae rhizoma;kłącze pluskwicy|
Coptidis rhizoma;kłącze złotnicy|
Hydrastis rhizoma;kłącze gorzknika|
Chelidonii herba;ziele glistnika|
Fumariae herba;ziele dymnicy|
Opium crudum;surowe opium|
Corydalis rhizoma;kłącze kokoryczy|
Herniariae herba;ziele połonicznika|
Saponariae radix;korzeń mydlnicy|
Achyranthis bidentatae radix;korzeń grzebyka dwuzębnego|
Polygoni multiflori radix;korzeń rdestu wielokwiatowego|
Bistortae rhizoma;kłącze rdestu wężownika|
Polygoni avicularis herba;ziele rdestu ptasiego|
Polygoni cuspidati rhizoma;kłącze rdestu japońskiego|
Polygoni cuspidati radix;korzeń rdestu japońskiego|
Rhei radix;korzeń rzewienia|
Visci herba;ziele jemioły|
Quercus cortex;kora dębu|
Betulae folium;liść brzoz|
Salicis cortex;kora wierzby|
Urticae folium;liść pokrzywy|
Lupuli flos;szyszka chmielu|
Agrimoniae herba;ziele rzepiku|
Atropae belladonnae radix;Korzeń pokrzyku wilczej jagody|
Solani amylum;Skrobia ziemniaczana|
Tritici amylum;Skrobia pszeniczna|
Taraxaci officinalis radix;Korzeń mniszka lekarskiego|
Ricini oleum raffinatum;Olej rycynowy oczyszczony|
Daturae stramonii folium;Liść bielunia dziędzierzawy|
Dianthi folium;Liść goździka|
Convolvuli arvensis folium;Liść powoju polnego|
Convallariae majalis folium;Liść konwalii majowej|
Equiseti arvensis folium;Liść skrzypu polnego|
Althaeae folium;Liść prawoślazu lekarskiego|
Malvae sylvestris folium;Liść ślazu dzikiego|
Farfarae folium;Liść podbiału pospolitego|
Artemisiae absinthii folium;Liść bylicy piołunu|
Digitalis purpureae folium;Liść naparstnicy purpurowej|
Lavandulae flos;Kwiat lawendy|
Matricariae flos;Kwiat rumianku pospolitego|
Betulae folium;Liść brzozy brodawkowatej|
Lauri folium;Liść wawrzynu szlachetnego|
Hyperici folium;Liść dziurawca zwyczajnego|
Levistici radix;Korzeń lubczyku ogrodowego|
Foeniculi fructus;Owoc kopru włoskiego|
Pimpinellae fructus;Owoc biedrzeńca anyżu|
Taraxaci radix;Korzeń mniszka lekarskiego|
Crataegi folium;liść głogu|
Crataegi flore;kwiat głogu|
Crataegi fructus;owoc głogu|
Filipendulae ulmariae herba;ziele wiązówki|
Tormentillae rhizoma;kłącze pięciornika|
Pruni africanae cortex;kora śliwy afrykańskiej|
Amygdalae oleum raffinatum;olej migdałowy oczyszczony|
Amygdalae oleum virginale;olej migdałowy pierwszego tłoczenia|
Rosae pseudo-fructus;owoc róży|
Sanguisorbae radix;korzeń krwiściągu|
Frangulae cortex;kora kruszyny|
