lliciaceae;llicium verum|
Schisandraceae;Schisandra chinensis|
Magnoliaceae;Magnolia officinalis|
Magnoliaceae;Magnolia biondii|
Ranunculaceae;Cimicifuga racemosa|
Ranunculaceae;Coptis chinensis|
Ranunculaceae;Clematis armandii|
Ranunculaceae;Hydrastis canadensis|
Papaveraceae;Fumaria officinalis|
Papaveraceae;Chelidonium majus|
Papaveraceae;Papaver somniferum|
Papaveraceae;Papaver rhoeas|
Papaveraceae;Corydalis yanhusuo|
Aristolochiaceae;Asarum europaeum|
Caryophyllaceae;Herniaria glabra|
Caryophyllaceae;Saponaria officinalis|
Amaranthaceae;Achyranthes bidentata|
Polygonaceae;Fagopyrum esculentum|
Polygonaceae;Polygonum multiflorum|
Polygonaceae;Polygonum orientale|
Polygonaceae;Polygonum bistorta|
Polygonaceae;Polygonum aviculare|
Polygonaceae;Polygonum cuspidatum|
Polygonaceae;Rheum palmatum|
Polygonaceae;Rheum officinale|
Loranthaceae;Viscum album|
Fagaceae;Quercus robur|
Fagaceae;Quercus petraea|
Fagaceae;Quercus pubescens|
Betulaceae;Betula pendula|
Betulaceae;Betula pubescens|
Salicaceae;Salix purpurea|
Salicaceae;Salix fragilis|
Salicaceae;Salix daphnoides|
Urticaceae;Urtica dioica|
Urticaceae;Urtica urens|
Cannabaceae;Humulus lupulus|
Rosaceae;Agrimonia eupatoria|
Rosaceae;Alchemilla vulgaris|
Rosaceae;Crataegus monogyna|
Rosaceae;Crataegus laevigata|
Rosaceae;Filipendula ulmaria|
Rosaceae;Potentilla erecta|
Rosaceae;Prunus africana|
Rosaceae;Prunus dulcis|
Rosaceae;Rosa canina|
Rosaceae;Rubus fruticosus|
Rosaceae;Sanguisorba officinalis|
Rhamnaceae;Rhamnus frangula|


